Dataset name, Total events, Generator fragment name	Generator, Cross section [pb]
AMSB_chargino_M-600_CTau-100_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-600GeV_CTau-100cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-600_CTau-10_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-600GeV_CTau-10cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-700_CTau-10000_TuneCP5_13TeV_pythia8, 250000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-700GeV_CTau-10000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-700_CTau-1000_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-700GeV_CTau-1000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-700_CTau-100_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-700GeV_CTau-100cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-700_CTau-10_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-700GeV_CTau-10cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-800_CTau-10000_TuneCP5_13TeV_pythia8, 250000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-800GeV_CTau-10000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-800_CTau-1000_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-800GeV_CTau-1000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-800_CTau-100_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-800GeV_CTau-100cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-800_CTau-10_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-800GeV_CTau-10cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-900_CTau-10000_TuneCP5_13TeV_pythia8, 250000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-900GeV_CTau-10000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-900_CTau-1000_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-900GeV_CTau-1000cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-900_CTau-100_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-900GeV_CTau-100cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
AMSB_chargino_M-900_CTau-10_TuneCP5_13TeV_pythia8, 50000, https://raw.githubusercontent.com/isildakbora/EXO-MC-REQUESTS/master/Disappearing_Tracks/AMSB_chargino_M-900GeV_CTau-10cm_TuneCP5_13TeV_pythia8_cff.py, Pythia8
